Year,Round,SeedDiff,Team1,Team2,Team1Wins
2012,3,24,Kansas,North Carolina St.,1
2012,3,18,Syracuse,Wisconsin,1
2012,3,12,Louisville,Michigan St.,1
2012,3,19,Ohio St.,Cincinnati,1
2012,3,11,Florida,Marquette,1
2012,2,7,North Carolina St.,Georgetown,1
2012,2,23,Michigan St.,St. Louis,1
2012,2,22,North Carolina,Creighton,1
2012,2,23,Florida,Norfolk St.,1
2012,2,14,Ohio,South Florida,1
2012,2,23,Kansas,Purdue,1
2012,2,12,Cincinnati,Florida St.,1
2012,2,20,Xavier,Lehigh,1
2012,2,22,Syracuse,Kansas St.,1
2012,2,20,Ohio St.,Gonzaga,1
2012,2,18,Marquette,Murray St.,1
2012,2,16,Wisconsin,Vanderbilt,1
2012,2,23,Indiana,Virginia Commonwealth,1
2012,2,22,Kentucky,Iowa St.,1
2012,2,23,Baylor,Colorado,1
2012,2,16,Louisville,New Mexico,1
2012,1,20,Cincinnati,Texas,1
2012,1,16,Creighton,Alabama,1
2012,1,10,North Carolina St.,San Diego St.,1
2012,1,18,Florida,Virginia,1
2012,1,26,Florida St.,St. Bonaventure,1
2012,1,26,Georgetown,Belmont,1
2012,1,30,North Carolina,Vermont,1
2012,1,2,Norfolk St.,Missouri,1
2012,1,6,Ohio,Michigan,1
2012,1,12,Purdue,St. Mary's (Cal.),1
2012,1,2,Lehigh,Duke,1
2012,1,30,Michigan St.,Long Island,1
2012,1,12,Xavier,Notre Dame,1
2012,1,28,Kansas,Detroit,1
2012,1,8,South Florida,Temple,1
2012,1,14,St. Louis,Memphis,1
2012,1,20,Murray St.,Colorado St.,1
2012,1,24,Louisville,Davidson,1
2012,1,16,Kansas St.,Southern Mississippi,1
2012,1,24,Wisconsin,Montana,1
2012,1,26,Marquette,Brigham Young,1
2012,1,30,Syracuse,UNC Asheville,1
2012,1,22,New Mexico,Long Beach St.,1
